AX35EDDB,"Orwell, George",England your England,London,Penguin,2017
AX35EDDB,"Orwell, George",England your England,London,Penguin,2017
AXC9EED9,"Orwell, George",The road to Wigan Pier,London,Penguin,2014
AX79E80A,"Orwell, George",The road to Wigan Pier,London,Harvill Secker,2018
AX86DD88,"Orwell, George",The road to Wigan Pier,London,HarperCollins,2021
AX86DD88,"Orwell, George",The road to Wigan Pier,London,HarperCollins,2021
AX0569D1,"Orwell, George",The road to Wigan Pier,Oxford,Oxford University Press,2021
AX73B3CB,"Orwell, George",The road to Wigan Pier,London,Arcturus,2021
AX86DD88,"Orwell, George",The road to Wigan Pier,London,HarperCollins,2021
AX53DB6C,"Orwell, George",The road to Wigan Pier,London,Macmillan,2021
AXBBEABB,"Orwell, George",The road to Wigan Pier,London,Arcturus Digital,2021
AXC9EED9,"Orwell, George",The road to Wigan Pier,London,Penguin,2014
AXF856C2,"Orwell, George","Orwell and politics : Animal Farm in the context of essays, reviews and letters selected from The complete works of George Orwell",London,Penguin,2020
AXFA69FC,"Orwell, George",Fascism and democracy,London,Penguin,2020
AXFA69FC,"Orwell, George",Fascism and democracy,London,Penguin,2020
AXCDF015,"Orwell, George",Notes on nationalism,London,Penguin,2018
AXBBC9BD,"Orwell, George",Orwell on freedom,London,Harvill Secker,2018
AX9B9AD9,"Orwell, George",Orwell on freedom,London,Vintage Digital,2018
AX5B0F20,"Orwell, George",The lion and the unicorn,London,Penguin,2018
AX5D2A22,"Orwell, George",The lion and the unicorn : socialism and the English genius,London,Penguin,2018
AX1E7E8A,"Armstrong, Stephen",The road to Wigan Pier revisited,London,Constable,2012
AXCE387F,"Orwell, George",Down and out in Paris and London,London,Harvill Secker,2020
AX11E9F3,"Orwell, George",Down and out in Paris and London,London,Harper,2021
AX11E9F3,"Orwell, George",Down and out in Paris and London,London,Harper,2021
AX3B8505,"Orwell, George",Down and out in Paris and London,Oxford,Oxford University Press,2021
AX0DC47E,"Orwell, George",Down and out in Paris and London,London,Arcturus,2021
AX0B914E,"Orwell, George",Down and out in Paris and London,London,Vintage Classics,2021
AX11E9F3,"Orwell, George",Down and out in Paris and London,London,Harper,2021
AXACC2B6,"Orwell, George",Down and out in Paris and London,London,Macmillan,2021
AX02CADF,"Orwell, George",Politics and the English language,London,Renard Press,2021
AX02CADF,"Orwell, George",Politics and the English language,London,Renard Press,2021
AXC5263D,"Orwell, George",Animal farm,Oxford,Oxford University Press,2021
AX11A9DC,"Orwell, George",Nineteen eighty-four,London,Penguin,2020
AX5763A7,"Orwell, George",Animal farm,London,Penguin,2020
AX785D16,"Orwell, George",Animal farm : the graphic novel,London,Penguin,2019
AX785D16,"Orwell, George",Animal farm : the graphic novel,London,Penguin,2019
AX2E6E15,"Orwell, George",Animal farm : the graphic novel,London,Penguin,2020
AX833F50,"Wilson, SeÃ¡n Michael","The illustrated Orwell - Such, such were the joys",Oxford,New Internationalist,2021
AX71C2DD,"Orwell, George",Nineteen eighty-four,London,Penguin,2021
AX12A0FB,"Orwell, George",The art of Donald McGill,,Greaves & Thomas,2009
AXCE7627,"Ervin, Andrew",Burning down George Orwell's house,New York,Soho,2015
AX68545D,"Ervin, Andrew",Burning down George Orwell's house,New York,Soho,2016
AXEEF22B,"Gupta, Ashis",Animal farm 2017 : an adaptation of George Orwell's classic dystopian novel,Calgary,Bayeux Arts,2018
AXE3D31D,"Goldstein, Philip","Communities of cultural value : reception study, political differences, and literary history","Lanham, Maryland ; Lexington",,2001
AXDD1600,"BiegajÅ‚o, BartÅ‚omiej",Totalitarian (in) experience in literary works and their translations : between east and west,Newcastle upon Tyne,Cambridge Scholars,2018
AX5600E4,"Icke, Robert",1984,London,Oberon,2013
AX5E2849,"Holman, Robert","Rafts and dreams : &, Outside whale",London,Bloomsbury,2014
AX4AF5FA,"Icke, Robert",1984,London,Oberon,2014
AX4AF5FA,"Icke, Robert",1984,London,Oberon,2014
AX0FBC55,"Orwell, George",Politics vs. literature,London,Renard Press,2021
AX0FBC55,"Orwell, George",Politics vs. literature,London,Renard Press,2021
AXA5026E,"Smith, David N.",George Orwell illustrated,Chicago,Haymarket,2018
AXEE71F7,"Orwell, George",Nineteen eighty-four,London,Penguin,2013
AX1705FA,"Orwell, George",Down and out in Paris and London,London,Penguin,2013
AXAE753F,"Colls, Robert",George Orwell : English rebel,Oxford,Oxford University Press,2013
AXC642E9,"Orwell, George","Such, such were the joys",London,Penguin,2014
AXCE076C,"Orwell, George",Burmese days,London,Penguin,2014
AX213113,"Orwell, George",Keep the aspidistra flying,London,Penguin,2014
AX213113,"Orwell, George",Keep the aspidistra flying,London,Penguin,2014
AX9AC127,"Al-Jubouri, Firas A. J. (Firas Adnan Jabbar)",Milestones on the road to dystopia : interpreting George Orwell's self-division in an era of 'force and fraud',Newcastle upon Tyne,Cambridge Scholars,2014
AXA77AAA,"Waldron, Carmel",Animal farm : George Orwell,Oxford,Oxford University Press,2014
AX8E4E72,"Duffy, Mike",Animal farm,London,Hodder Education,2015
AX84043F,"Orwell, George",Animal farm,London,Penguin,2015
AX79647C,"Colls, Robert",George Orwell : English rebel,Oxford,Oxford University Press,2015
AXE29365,"Opalinska, Wanda",Animal farm : George Orwell,"Harlow, Essex ; London",Pearson ; York,2015
AX5563AA,"Radford, Kevin",Animal farm for GCSE,London,Hodder Education,2016
AX2F5459,"Saunders, Loraine",The unsung artistry of George Orwell : the novels from Burmese days to Nineteen eighty-four,London,Routledge,2016
AXCA9C4C,"Sutherland, John",Orwell's nose : a pathological biography,London,Reaktion,2016
AX5563AA,"Radford, Kevin",Animal farm for GCSE,London,Hodder Education,2016
AXAC4D5C,"Brennan, Michael G.",George Orwell and religion,London,Bloomsbury,2016
AX523FBB,"Sutherland, John",Orwell's nose : a biography,London,Reaktion,2016
AX825AEE,"Burns, Paul",Animal farm : AQA GCSE English literature,London,Collins,2017
